Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2148,25.200,1764309594507473.110	,1764309594507498.310	
4,SwiGlu,AI_VECTOR_CORE,23,2149,3.860,1764309594507498.330	,1764309594507502.190	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2150,568.240,1764309594507502.230	,1764309594508070.470	
4,AddRmsNorm,AI_VECTOR_CORE,23,2151,2.240,1764309594508070.490	,1764309594508072.730	
4,trans_TransData_1,AI_VECTOR_CORE,23,2152,11.460,1764309594508072.770	,1764309594508084.230	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2153,8.820,1764309594508084.250	,1764309594508093.070	
4,rope_custom_true_half,AI_CORE,23,2154,5.120,1764309594508093.090	,1764309594508098.210	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2155,2.640,1764309594508098.230	,1764309594508100.870	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2156,566.980,1764309594508100.910	,1764309594508667.890	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2156,565.240,1764309594508101.970	,1764309594508667.210	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2157,11.880,1764309594508667.910	,1764309594508679.790	
4,AddRmsNorm,AI_VECTOR_CORE,23,2158,2.880,1764309594508679.810	,1764309594508682.690	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2159,604.060,1764309594508682.710	,1764309594509286.770	
4,SwiGlu,AI_VECTOR_CORE,23,2160,4.940,1764309594509286.790	,1764309594509291.730	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2161,588.660,1764309594509291.750	,1764309594509880.410	
4,AddRmsNorm,AI_VECTOR_CORE,23,2162,1.920,1764309594509880.430	,1764309594509882.350	
4,trans_TransData_1,AI_VECTOR_CORE,23,2163,10.580,1764309594509882.390	,1764309594509892.970	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2164,580.000,1764309594509892.990	,1764309594510472.990	
4,rope_custom_true_half,AI_CORE,23,2165,4.700,1764309594510473.010	,1764309594510477.710	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,2166,3.000,1764309594510477.730	,1764309594510480.730	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2167,19.560,1764309594510480.750	,1764309594510500.310	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,2167,17.220,1764309594510482.150	,1764309594510499.370	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2168,566.740,1764309594510500.330	,1764309594511067.070	
4,AddRmsNorm,AI_VECTOR_CORE,23,2169,1.940,1764309594511067.090	,1764309594511069.030	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2170,25.380,1764309594511069.050	,1764309594511094.430	
4,SwiGlu,AI_VECTOR_CORE,23,2171,5.580,1764309594511094.450	,1764309594511100.030	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,2172,566.300,1764309594511100.050	,1764309594511666.350	
4,AddRmsNorm,AI_VECTOR_CORE,23,2173,2.040,1764309594511666.370	,1764309594511668.410	
4,trans_TransData_1,AI_VECTOR_CORE,23,2174,10.540,1764309594511668.430	,1764309594511678.970	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,2175,560.420,1764309594511679.010	,1764309594512239.430	
